seed_id,lang,w_type,query_prefix
ZH01,zh,HOW,不会编程怎么做AI副业
ZH02,zh,HOW,一个人怎么做低成本副业
ZH03,zh,HOW,县城宝妈怎么开始副业
ZH04,zh,HOW,门店老板怎么做同城获客
ZH05,zh,HOW,短视频有播放怎么做成交
ZH06,zh,WHAT,AI副业是什么
ZH07,zh,WHAT,私域成交漏斗是什么
ZH08,zh,WHAT,同城流量玩法是什么
ZH09,zh,WHAT,模板产品化是什么
ZH10,zh,WHY,有流量没成交为什么
ZH11,zh,WHY,发内容没人咨询为什么
ZH12,zh,WHY,报价后客户不回复为什么
ZH13,zh,WHY,副业坚持不下去为什么
ZH14,zh,BEST,副业工具推荐 哪个好
ZH15,zh,BEST,同城获客平台 哪个好
ZH16,zh,BEST,AI文案工具 哪个好
ZH17,zh,WHERE,附近哪里可以学副业
ZH18,zh,WHERE,同城哪里能找到第一批客户
ZH19,zh,WHERE,乡镇哪里可以做线上接单
ZH20,zh,WHERE,本地哪里发布模板更容易成交
ZH21,zh,WHAT,副业定价多少钱合适
ZH22,zh,WHAT,模板包卖多少钱合适
ZH23,zh,WHAT,接单报价多少钱不容易被拒
ZH24,zh,WHAT,AI工具月费多少钱有人买
ZH25,zh,WHAT,小红书和视频号做副业哪个好
ZH26,zh,WHAT,卖模板和做服务哪个更赚钱
ZH27,zh,WHAT,抖音和快手同城获客哪个更稳
ZH28,zh,WHEN,副业内容什么时候发更容易咨询
ZH29,zh,WHEN,同城短视频什么时候发更容易成交
ZH30,zh,WHEN,新账号什么时候开始卖产品
ZH31,zh,HOW,我能不能靠AI副业月入3000
ZH32,zh,HOW,乡镇用户能不能做线上变现
ZH33,zh,HOW,每天1小时能不能跑出首单
ZH34,zh,WHAT,副业平台排名 前十有哪些
ZH35,zh,WHAT,适合宝妈副业排名
EN01,en,HOW,how to start an ai side hustle with no coding
EN02,en,HOW,how to get first paying client in small towns
EN03,en,WHAT,what is a profitable ai micro product
EN04,en,WHY,why content gets views but no sales
EN05,en,BEST,best platforms for local side hustle leads
EN06,en,WHERE,where to find clients near me for freelance work
EN07,en,WHAT,how much should i charge for templates
EN08,en,WHAT,notion templates vs ai tools which sells better
EN09,en,WHEN,when to launch a new side hustle offer
EN10,en,HOW,can i build an ai side hustle with one hour a day
